date_2,avg_temp,avg_rain,avg_wetb,avg_vappr,avg_rhum,avg_wdsp,avg_wddir,avg_dewpt,avg_msl,season,day,month,year,dd
2017-05-29,19.75,-0.0,11.88,13.16,88.04,6.08,198.33,10.99,1012.17,Spring,29,5,2017,19.75
2017-05-30,22.299999999999997,-0.0,12.61,13.46,83.62,7.75,270.0,11.32,1015.01,Spring,30,5,2017,22.299999999999997
2017-05-31,21.35,0.01,12.33,13.42,85.75,9.58,214.17,11.25,1018.56,Spring,31,5,2017,21.35
2017-06-01,19.65,0.39,12.12,13.64,92.38,12.71,200.42,11.56,1016.29,Summer,1,6,2017,19.65
2017-06-02,19.95,-0.0,10.75,11.58,80.71,9.79,247.08,9.11,1016.52,Summer,2,6,2017,19.95
2017-06-03,19.9,0.15,10.61,11.45,80.08,13.92,225.83,8.93,1013.93,Summer,3,6,2017,19.9
2017-06-04,18.9,0.11,10.17,11.07,79.25,14.88,216.67,8.38,1012.52,Summer,4,6,2017,18.9
2017-06-05,17.5,0.77,10.87,12.59,91.88,15.92,242.92,10.22,998.53,Summer,5,6,2017,17.5
2017-06-06,19.15,-0.0,9.35,9.94,72.79,19.58,289.58,6.89,1004.79,Summer,6,6,2017,19.15
2017-06-07,18.2,0.35,10.93,12.66,91.75,11.75,212.92,10.25,1009.78,Summer,7,6,2017,18.2
2017-06-08,20.5,0.37,12.21,13.65,91.29,14.71,204.58,11.55,1001.44,Summer,8,6,2017,20.5
2017-06-09,18.4,0.52,11.48,13.09,92.29,11.5,202.08,10.92,1007.01,Summer,9,6,2017,18.4
2017-06-10,21.45,0.6,13.41,15.07,95.17,19.96,194.58,13.07,1005.88,Summer,10,6,2017,21.45
2017-06-11,21.1,0.1,12.0,12.95,84.29,21.38,223.75,10.78,1009.31,Summer,11,6,2017,21.1
2017-06-12,21.549999999999997,0.0,11.64,12.62,83.83,11.83,238.75,10.34,1017.95,Summer,12,6,2017,21.549999999999997
2017-06-13,20.6,-0.0,12.33,13.9,93.21,9.0,192.5,11.87,1018.31,Summer,13,6,2017,20.6
2017-06-14,20.9,0.04,12.62,14.03,91.21,11.88,172.92,12.0,1013.71,Summer,14,6,2017,20.9
2017-06-15,22.400000000000002,-0.0,11.9,12.33,78.17,14.58,238.75,10.04,1014.86,Summer,15,6,2017,22.400000000000002
2017-06-16,23.0,-0.0,13.48,14.71,88.62,9.12,205.83,12.68,1024.5,Summer,16,6,2017,23.0
2017-06-17,22.1,-0.0,13.22,14.45,88.83,8.62,209.17,12.44,1026.81,Summer,17,6,2017,22.1
2017-06-18,23.3,-0.0,13.57,14.37,83.33,4.33,216.25,12.32,1023.47,Summer,18,6,2017,23.3
2017-06-19,27.3,-0.0,15.0,15.28,76.92,4.75,207.5,13.25,1019.58,Summer,19,6,2017,27.3
2017-06-20,27.45,-0.0,14.72,14.96,77.25,8.17,99.17,12.98,1017.78,Summer,20,6,2017,27.45
2017-06-21,26.200000000000003,0.04,15.64,16.59,84.33,9.21,196.67,14.54,1011.82,Summer,21,6,2017,26.200000000000003
2017-06-22,26.65,-0.0,13.0,13.23,76.38,13.5,272.08,11.1,1014.09,Summer,22,6,2017,26.65
2017-06-23,23.299999999999997,-0.0,13.98,15.13,88.08,15.08,225.42,13.12,1014.15,Summer,23,6,2017,23.299999999999997
2017-06-24,27.45,-0.0,13.32,13.49,77.04,8.83,250.42,11.35,1014.0,Summer,24,6,2017,27.45
2017-06-25,24.05,-0.0,12.76,12.97,75.88,10.33,293.33,10.73,1013.6,Summer,25,6,2017,24.05
2017-06-26,20.95,0.37,12.29,13.31,84.67,8.58,140.83,11.07,1012.56,Summer,26,6,2017,20.95
2017-06-27,23.4,0.26,13.8,15.0,89.08,11.21,212.08,12.98,1003.27,Summer,27,6,2017,23.4
2017-06-28,22.15,0.2,12.35,13.08,81.67,7.54,298.33,10.92,1000.46,Summer,28,6,2017,22.15
2017-06-29,22.2,0.08,11.25,11.67,76.33,17.12,335.0,9.18,1003.02,Summer,29,6,2017,22.2
2017-06-30,22.2,-0.0,10.48,10.16,64.75,23.92,328.33,7.19,1013.67,Summer,30,6,2017,22.2
2017-07-01,24.2,-0.0,12.64,13.56,82.33,11.67,274.58,11.28,1019.6,Summer,1,7,2017,24.2
2017-07-02,20.700000000000003,-0.0,12.07,12.89,82.21,10.25,255.0,10.64,1022.85,Summer,2,7,2017,20.700000000000003
2017-07-03,24.1,-0.0,14.24,15.64,91.54,9.54,222.08,13.66,1020.45,Summer,3,7,2017,24.1
2017-07-04,24.35,0.01,14.61,15.95,90.33,10.58,213.33,13.95,1019.03,Summer,4,7,2017,24.35
2017-07-05,23.849999999999998,-0.0,14.43,15.71,89.54,5.17,185.0,13.72,1018.84,Summer,5,7,2017,23.849999999999998
2017-07-06,26.95,0.0,14.75,15.68,85.42,7.08,237.5,13.7,1016.19,Summer,6,7,2017,26.95
2017-07-07,26.25,-0.0,14.99,15.89,84.75,6.58,228.33,13.89,1017.87,Summer,7,7,2017,26.25
2017-07-08,24.799999999999997,-0.0,14.34,15.4,86.5,5.75,122.92,13.37,1018.94,Summer,8,7,2017,24.799999999999997
